2025-09-15 19:57:30 | INFO | datasets | Converted 2 records -> /private/var/folders/lk/84pwgsjx2bl9czdfqvcc1g400000gn/T/pytest-of-boen/pytest-0/test_convert_csv_jsonl0/out.jsonl
2025-09-15 19:57:30 | INFO | datasets | Converted 2 records -> /private/var/folders/lk/84pwgsjx2bl9czdfqvcc1g400000gn/T/pytest-of-boen/pytest-0/test_convert_json_jsonl0/out2.jsonl
2025-09-15 19:57:30 | INFO | preprocess | Cleaned 2 records -> /private/var/folders/lk/84pwgsjx2bl9czdfqvcc1g400000gn/T/pytest-of-boen/pytest-0/test_process_jsonl0/out.jsonl
2025-09-15 19:59:54 | INFO | datasets | Processing dataset: demo
2025-09-15 19:59:54 | INFO | datasets | Downloaded file:///Users/boen/Desktop/信息安全设计与实践II/INFO_SAFE_II/datasets/demo_input.csv -> datasets/demo/demo_input.csv
2025-09-15 19:59:54 | INFO | datasets | Converted 3 records -> datasets/demo/demo.jsonl
2025-09-15 19:59:54 | INFO | datasets | All done
2025-09-15 20:00:10 | INFO | preprocess | Cleaned 3 records -> datasets/demo/demo.clean.jsonl
2025-09-15 20:00:10 | INFO | preprocess | Done: 3 rows
2025-09-15 20:04:54 | INFO | datasets | Processing dataset: HateSpeech-Davidson
2025-09-15 20:05:03 | INFO | datasets | Downloaded https://raw.githubusercontent.com/t-davidson/hate-speech-and-offensive-language/master/data/labeled_data.csv -> datasets/HateSpeech-Davidson/labeled_data.csv
2025-09-15 20:05:03 | INFO | datasets | Converted 24783 records -> datasets/HateSpeech-Davidson/HateSpeech-Davidson.jsonl
2025-09-15 20:05:03 | INFO | datasets | All done
2025-09-15 20:05:15 | INFO | preprocess | Cleaned 24783 records -> datasets/HateSpeech-Davidson/HateSpeech-Davidson.clean.jsonl
2025-09-15 20:05:15 | INFO | preprocess | Done: 24783 rows
2025-09-15 20:06:01 | INFO | datasets | Processing dataset: SpamAssassin-Public
2025-09-15 20:06:22 | INFO | datasets | Downloaded https://spamassassin.apache.org/old/publiccorpus/20030228_spam.tar.bz2 -> datasets/SpamAssassin-Public/20030228_spam.tar.bz2
2025-09-15 20:06:23 | INFO | datasets | Downloaded https://spamassassin.apache.org/old/publiccorpus/20030228_easy_ham.tar.bz2 -> datasets/SpamAssassin-Public/20030228_easy_ham.tar.bz2
2025-09-15 20:06:24 | INFO | datasets | Converted 3002 records -> datasets/SpamAssassin-Public/SpamAssassin-Public.jsonl
